PRACTICE_ID,ORG_NPI,TOT_3PRD_PHYS,COMMON_SPEC_OVERALL1,SING_SPEC_FLAG,SING_SPEC_TYPE,PCP_SPEC_FOCUS_FLAG,COMMON_SPEC_PCP1,COMMON_SPEC_PCP2,COMMON_SPEC_PCP3,COMMON_SPEC_PCP4,COMMON_SPEC_PCP5,MED_SPEC_FLAG,COMMON_SPEC_MED1,COMMON_SPEC_MED2,COMMON_SPEC_MED3,COMMON_SPEC_MED4,COMMON_SPEC_MED5,SURG_SPEC_FLAG,COMMON_SPEC_SURG1,COMMON_SPEC_SURG2,COMMON_SPEC_SURG3,COMMON_SPEC_SURG4,COMMON_SPEC_SURG5,OBGYN_SPEC_FLAG,PSYCH_SPEC_FLAG,OTHR_SPEC_FLAG,STATE,ZIP_CD
2176,1730231523,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90026
13999,1942328174,2,General practice,0,,1,General practice,Family practice,,,,0,,,,,,0,,,,,,0,0,0,CA,92843
5879,1356753149,1,Diagnostic radiology,1,Diagnostic radiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91755
16047,1619061892,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91360
16133,1417149006,1,Cardiology,1,Cardiology,0,,,,,,1,Cardiology,,,,,0,,,,,,0,0,0,CA,93454
6911,1629429378,1,Psychiatry,1,Psychiatry,0,,,,,,0,,,,,,0,,,,,,0,1,0,CA,92399
23272,1659504538,1,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,93003
12264,1306399878,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91205
13777,1568467595,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,91345
2508,1477573947,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,96097
1994,1144257650,1,Diagnostic radiology,1,Diagnostic radiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92122
8854,1033104724,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92307
6166,1548420201,1,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,94546
13980,1285634949,1,Cardiology,1,Cardiology,0,,,,,,1,Cardiology,,,,,0,,,,,,0,0,0,CA,92056
14364,1124198312,1,Infectious disease,1,Infectious disease,0,,,,,,1,Infectious disease,,,,,0,,,,,,0,0,0,CA,90036
4770,1740410182,7,Dermatology,0,,0,,,,,,1,Dermatology,,,,,1,Plastic and reconstructive surgery,,,,,0,0,0,CA,92503
10461,1043260458,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91307
27105,1366537474,1,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,90020
2730,1396811568,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,96001
11399,1538564463,2,Sleep medicine,0,,0,,,,,,1,Sleep medicine,Neurology,,,,0,,,,,,0,0,0,CA,96003
18719,1558868927,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,95608
9707,1013285295,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,91403
2773,1497778443,3,Family practice,0,,1,Family practice,,,,,0,,,,,,0,,,,,,1,0,0,CA,95301
25809,1669521076,1,Rheumatology,1,Rheumatology,0,,,,,,1,Rheumatology,,,,,0,,,,,,0,0,0,CA,90301
9323,1922398767,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90623
8042,1922212653,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92395
4379,1396070546,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,90211
9648,1326312067,61,Internal medicine,0,,1,Internal medicine,Family practice,General practice,,,1,Rheumatology,Pulmonary disease,Gastroenterology,Endocrinology,Cardiology,1,Orthopedic surgery,Otolaryngology,Ophthalmology,General surgery,,1,0,0,CA,95020
17755,1699229484,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90813
13642,1770634081,1,Anesthesiology,1,Anesthesiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,93463
16790,1932149283,4,Pulmonary disease,0,,1,Internal medicine,,,,,1,Pulmonary disease,Nephrology,,,,0,,,,,,0,0,0,CA,93240
7511,1063619310,1,Interventional Pain Management (IPM),1,Interventional Pain Management (IPM),0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92780
26001,1851579270,1,Physical medicine and rehabilitation,1,Physical medicine and rehabilitation,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,90004
10837,1255768057,3,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,93436
22898,1891873303,1,Pathology,1,Pathology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,90034
11203,1205247376,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,90020
23915,1962825240,1,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,93301
23897,1205024676,1,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,90210
3500,1184879033,1,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,91204
25361,1023024916,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90012
21585,1053456061,3,Diagnostic radiology,1,Diagnostic radiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95642
23664,1184702557,2,Neurology,1,Neurology,0,,,,,,1,Neurology,,,,,0,,,,,,0,0,0,CA,91325
12507,1558502690,1,Dermatology,1,Dermatology,0,,,,,,1,Dermatology,,,,,0,,,,,,0,0,0,CA,90404
15299,1477729291,1,Dermatology,1,Dermatology,0,,,,,,1,Dermatology,,,,,0,,,,,,0,0,0,CA,95242
16529,1881637130,12,Cardiology,0,,0,,,,,,1,Cardiology,Cardiac Electrophysiology,Interventional cardiology,,,0,,,,,,0,0,1,CA,93720
16224,1851492656,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,95073
12490,1538351283,7,Ophthalmology,0,,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,90404
25941,1093729675,1,Gastroenterology,1,Gastroenterology,0,,,,,,1,Gastroenterology,,,,,0,,,,,,0,0,0,CA,90048
12676,1790774446,1,Psychiatry,1,Psychiatry,0,,,,,,0,,,,,,0,,,,,,0,1,0,CA,92037
25334,1881024669,2,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92103
27122,1982759734,8,Optometrist,0,,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,91355
23942,1447227384,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91762
15004,1588793657,2,Psychiatry,1,Psychiatry,0,,,,,,0,,,,,,0,,,,,,0,1,0,CA,96002
7685,1467633362,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92708
19407,1104487776,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91606
15954,1003960139,4,Pathology,1,Pathology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,93301
4941,1902133093,1,General surgery,1,General surgery,0,,,,,,0,,,,,,1,General surgery,,,,,0,0,0,CA,95630
17293,1477761914,1,Urology,1,Urology,0,,,,,,0,,,,,,1,Urology,,,,,0,0,0,CA,95370
20537,1558366823,4,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,95616
9650,1528344686,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90015
14063,1275510927,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95632
6484,1851628689,1,Psychiatry,1,Psychiatry,0,,,,,,0,,,,,,0,,,,,,0,1,0,CA,90274
12088,1104276740,1,Neurosurgery,1,Neurosurgery,0,,,,,,0,,,,,,1,Neurosurgery,,,,,0,0,0,CA,93301
25237,1952595704,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,90222
19777,1760763346,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,95122
11881,1184122624,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92708
2601,1356498976,1,Dermatology,1,Dermatology,0,,,,,,1,Dermatology,,,,,0,,,,,,0,0,0,CA,91316
15870,1992816268,1,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,92683
6455,1346348968,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,92307
17985,1245782291,1,Dermatology,1,Dermatology,0,,,,,,1,Dermatology,,,,,0,,,,,,0,0,0,CA,93105
17073,1558427195,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,95008
14423,1407851777,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,92270
6588,1538152145,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92335
4292,1699926956,1,Otolaryngology,1,Otolaryngology,0,,,,,,0,,,,,,1,Otolaryngology,,,,,0,0,0,CA,91007
25683,1902936099,2,Internal medicine,0,,1,Internal medicine,Family practice,,,,0,,,,,,0,,,,,,0,0,0,CA,90302
18486,1831616028,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,92354
2437,1598717613,4,Diagnostic radiology,0,,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95531
18344,1588194104,1,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,93446
2738,1609063429,2,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,93274
1504,1295726768,1,Plastic and reconstructive surgery,1,Plastic and reconstructive surgery,0,,,,,,0,,,,,,1,Plastic and reconstructive surgery,,,,,0,0,0,CA,94546
4284,1558517748,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,93727
16796,1952479180,1,Orthopedic surgery,1,Orthopedic surgery,0,,,,,,0,,,,,,1,Orthopedic surgery,,,,,0,0,0,CA,93637
9335,1174802532,2,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,93308
6797,1265609119,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92404
9465,1679509269,1,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,94704
5157,1568788016,1,Otolaryngology,1,Otolaryngology,0,,,,,,0,,,,,,1,Otolaryngology,,,,,0,0,0,CA,91106
